126.95	219.7	118.65	133.75	137.45	96.05	69.9	128.95
181.8	284.8	187.1	269.8	832.2	648.5	174.8	534.7
94.7	425.5	494.9	38.6	268.1	25.9	111.5	574.9
33.325	50.85	31.4	57.125	51.8	26.9	26.175	46
133.9	340.9	160.7	488.8	224.6	280	108.8	92
1010.55	2371.3	914.35	1476.2	2040.7	2721.8	713	512.45
3	10.6	6.2	6.1	8.95	5.9	5.9	11.85
28.6	107.55	79.35	140.9	188.25	84	70.5	112.25
57	73.9	66.5	67.05	83.25	120.3	36.9	40.95
9	12.2	6.4	7.4	7	4.6	5.8	3.2
8.8	6.2	13.4	4.8	5.7	1.9	1.8	1.8
11.65	22.55	20.35	38.3	6.95	1.8	11.6	4.7
16.4	21	15.9	20.9	21.3	13.2	16.1	13.6
17.3	10.9	9.45	20.9	18.65	12.45	6.45	9.6
172.95	197.85	137.9	175.3	151.05	133.75	95.85	176
7.96666666666667	17.1666666666667	16.8333333333333	32.8	12.4	9.73333333333333	7.86666666666667	12.6
23.8333333333333	31.2	29.8333333333333	38.9666666666667	11.9333333333333	3.73333333333333	9.8	18.6333333333333
5.3	26.8	5.2	25.5	2	15.1	0.8	3
33.95	39.05	53.95	46.25	63.95	65.9	42.55	24.65
6.6	0.6	8.2	20.1	10.8	6.2	5.3	2.9
4.03333333333333	37.3666666666667	10.5333333333333	4	15.8666666666667	42.1	16.5333333333333	10.5
37.2	24.6	41.6	10.3	44.7	38.6	33.8	24.8
3	22.9	12.2	0.6	230.1	18.2	50.5	36
83.3285714285714	187.428571428571	123.271428571429	159.314285714286	225.785714285714	234.042857142857	92.1285714285714	180.957142857143
144.266666666667	91	114.9	206.233333333333	62.4666666666667	37.8	85.3666666666667	144.466666666667
273.4	189.1	164.85	299.25	280.45	341	118.35	192.85
43.4	140.6	165.9	122.1	173.7	85.2	95.3	47.9
4.3	7.1	11.9	7.5	1.3	11.2	13.5	2.5
1.5	25.5	10.3	3.5	817	99	23.5	84
9.8	36.6666666666667	30.9333333333333	69.1666666666667	62.0666666666667	37.9666666666667	25.5	29.9666666666667
1.2	3	11.8	8.2	7.4	2.8	4.2	1.8
2.8	3.7	6.5	6.7	6.2	5.8	0.65	8.15
22	34.1	25.8	49.3	26.8	22	11	44.9
1.9	2.8	2.7	1.8	1.5	2.5	0.8	1.9
14.1625	16.125	17.2625	15.8875	20.8	11.35	13.025	15.5375
15.1	47.35	31.15	20.3	16.05	8.45	10.2	20.3
11.1	48	13.6	31.2	60.4	30.2	11.7	50.6
189.5	173	163.5	198.6	534.2	731.1	173.8	485.5
0.9	15.7	0.9	1.7	13.7	8.2	6.6	18
6.5	14.0666666666667	15.7	4.93333333333333	23.9	9.43333333333333	12.6666666666667	7
19.8	12.6	31	2.4	22.1	57.3	39.2	15.1
168	1124.6	972.4	877.1	1517.7	424.6	676.6	750.8
32.8	61.7	19.05	58	49.75	34.85	41.25	33.75
365.5	231.5	234.4	282.9	349	1502	217.1	302.2
7.3	66.5	35.8	19.7	162.9	50.7	15.6	47.3
32.3	39.3	9.9	15.5	32.3	13.2	17.3	17.8
7.3	16.4333333333333	14.5666666666667	2.26666666666667	11.2666666666667	7.5	8.86666666666667	11.5333333333333
8.7	64.9	39.7	54.6	212.6	187.9	60.6	236.6
150.2	180	133.1	113.4	166.9	82.8	45.8	65.4
26.4	66.6	52.3	33.4	54.3	60.5	45.4	69.4
18.5	79.2	41.8	89.1	19.1	11.4	22.7	11.4
82.32	106	103.5	179.14	89.82	42.7	92.66	41.54
0.5	41.1	16.7	29.3	27.8	19.6	20.8	57.7
168.133333333333	252.533333333333	200.466666666667	264.133333333333	389.966666666667	511.233333333333	133.5	309.566666666667
29.6333333333333	35.9333333333333	24.9333333333333	21.9333333333333	33.5666666666667	17.9666666666667	22.9	36.3
7.75	12.65	30.8	26.4	30.4	25.9	7.9	21.35
73.2	91.1	105.3	133	314.7	439.8	48.3	153.7
42.7	77.8	63.15	95	59.7	20.1	32.25	68.65
3.3	2.3	5	7.5	1.1	1.6	7.9	1.2
149.6	241.6	194.4	165.1	141.4	88.3	72.9	118.5
41.8666666666667	95.2666666666667	58.6666666666667	140.933333333333	47.3333333333333	20.0666666666667	16.3666666666667	32.5333333333333
7.4	5.9	6.1	4.1	8.7	0.4	1.9	4.1
2.05	1.85	5.8	7.7	5.45	0.75	0.9	6.7
34.95	100.325	93.4	90.65	82.05	33.2	48.225	49.625
226.1	602.5	263.3	402.2	467.1	460.8	212.6	429.4
9.3	21.3	21	37.5	33.6	6.4	25.7	27.4
110.2	299.2	324.6	697.1	422.1	164.5	166.2	206.7
